Title,Place,Details,dateN,monthN,yearN,Website,Source
Welcome the week at The Ext Siargao (@the_ext_siargao) with their live bands fro,,Welcome the week at The Ext Siargao (@the_ext_siargao) with their live bands from 9 PM while enjoying their beers and cocktails from 6PM onwards.,15,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Looking for the perfect Tuesday night hangout? Head to Barbosa (@barbosa_siargao,,Looking for the perfect Tuesday night hangout? Head to Barbosa (@barbosa_siargao) for their Disco Tropico DJ set that will keep you dancing until midnight! They also have a Happy Hour BOGO promo from 5:30-7:30PM.,16,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Looking for a vibrant atmosphere and funky beats? Check out Goodies ( @goodies,,"Looking for a vibrant atmosphere and funky beats? Check out Goodies ( @goodies.siargao ), where local and international DJs bring the party starting at 9PM.",17,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Dance the night away with Mama Coco’s Reggaeton Nights (@mamacoco,,"Dance the night away with Mama Coco’s Reggaeton Nights (@mamacoco.siargao)! Mama Coco welcomes you from 6 PM to 12 midnight, featuring happy hour specials from 6 to 8 PM.",17,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Get ready to enjoy local beers and cocktails at Siargao Bed and Brew ( @siargaob,,"Get ready to enjoy local beers and cocktails at Siargao Bed and Brew ( @siargaobedandbrew ), then hit the dance floor as the music starts at 8PM.",18,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Are you looking for a wild weekend? Mama Coco is your go-to spot for House/Techn,,"Are you looking for a wild weekend? Mama Coco is your go-to spot for House/Techno beats, while El Lobo ( @ellobo_ph ) will have you dancing to the latest hits, and Barbosa will be serving some Melodic and Acid House. The party starts at 9PM.",19,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Looking for an unforgettable party experience? Don’t miss Harana’s ( @haranasurf,,"Looking for an unforgettable party experience? Don’t miss Harana’s ( @haranasurf ) “Sabado Nights” with live music, unique acts, and more. The party runs from 9PM to 12 midnight.",20,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Get ready for a night of fun at Happiness Siargao’s weekly night market ( @happi,,"Get ready for a night of fun at Happiness Siargao’s weekly night market ( @happinessphsiargao ). Join the festivities from 6PM onwards for delicious food, shopping, refreshing drinks, and fun dancing.",21,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
Siargao Beach Club ( @siargao_beachclub ) and Sibol ( @sibol,,"Siargao Beach Club ( @siargao_beachclub ) and Sibol ( @sibol.siargao ) are great spots for socializing every night and enjoying music or dancing with newfound friends. These places always have something exciting happening, so check them out.",21,12,2025,https://www.diwasiargao.com/siargao-travel-guide-nightlife-schedule-in-siargao/,diwasiargao.com
 
